term,beta,hc3_robust_se,z_value,p_value,ci95_beta_low,ci95_beta_high,odds_ratio,or_ci95_low,or_ci95_high,odds_percent_change
Intercept,-1.941997391,0.07085747025,-27.40709461,2.257375349e-165,-2.080875481,-1.803119301,0.1434172033,0.1248208861,0.1647840746,-85.65827967
"C(game, Treatment(reference='Cyberpunk 2077'))[T.Elden Ring]",0.0259497502,0.04225191675,0.6141674082,0.5391047079,-0.0568624849,0.1087619853,1.026289376,0.9447239742,1.114896957,2.628937635
"C(game, Treatment(reference='Cyberpunk 2077'))[T.Hogwarts Legacy]",-0.007774905208,0.03732241495,-0.2083173133,0.8349812141,-0.08092549432,0.0653756839,0.9922552412,0.9222624027,1.067560014,-0.7744758812
"C(game, Treatment(reference='Cyberpunk 2077'))[T.Monster Hunter Wilds]",-0.05062152425,0.04068168679,-1.244331989,0.2133774023,-0.1303561652,0.0291131167,0.950638396,0.8777827396,1.029541046,-4.936160396
"C(game, Treatment(reference='Cyberpunk 2077'))[T.The Witcher 3: Wild Hunt]",0.01061704915,0.03731683762,0.2845109562,0.776018839,-0.0625226086,0.08375670691,1.01067361,0.9393918242,1.087364313,1.067361001
combat,-0.08879722751,0.03458439082,-2.567552164,0.01024193782,-0.156581388,-0.02101306707,0.9150310979,0.8550619231,0.9792061691,-8.49689021
challenge,-0.003508240214,0.03771858727,-0.09301091235,0.925894892,-0.07743531281,0.07041883238,0.9964979065,0.9254868896,1.072957476,-0.350209353
progression,0.1338108804,0.04288698557,3.120081271,0.001808011492,0.0497539333,0.2178678275,1.143176602,1.051012445,1.243422711,14.31766021
exploration,0.08192642702,0.03775613912,2.169883598,0.03001566515,0.007925754146,0.1559270999,1.085375953,1.007957246,1.168740999,8.537595255
narrative,-0.05763111466,0.03045027541,-1.892630326,0.05840704797,-0.1173125578,0.002050328459,0.9439981103,0.8893071898,1.002052432,-5.600188972
immersion,0.05630639289,0.04048056876,1.39094866,0.1642409955,-0.02303406395,0.1356468497,1.057921774,0.9772291949,1.145277367,5.792177379
log_review_words,0.2337875351,0.01741921798,13.42124172,4.540411241e-41,0.1996464952,0.267928575,1.263376041,1.220971063,1.307253766,26.33760406
steam_purchase,-0.002153265494,0.03495959109,-0.06159298284,0.9508869652,-0.07067280495,0.06636627396,0.9978490511,0.9317667117,1.068618052,-0.2150948881
received_for_free,-0.5058435081,0.1151967011,-4.391128421,1.127639113e-05,-0.7316248933,-0.2800621229,0.6029967282,0.4811265752,0.7557367914,-39.70032718
