quantile,game,n,threshold_hours,high_playtime_n,playtime_min,playtime_median,playtime_max,low_playtime_n,high_playtime_rate
0.7,Cyberpunk 2077,8128,119.65,2440,0.1,71.13335,6361.7667,5688,0.3001968504
0.7,Elden Ring,6519,172.79332,1956,0.1333,100.8667,6636.6333,4563,0.3000460193
0.7,Hogwarts Legacy,7901,63.5667,2371,0.0833,38.25,2518.2333,5530,0.3000885964
0.7,Monster Hunter Wilds,7321,173.5833,2197,0.0833,97.5667,3030.7833,5124,0.3000956154
0.7,The Witcher 3: Wild Hunt,7588,126.845,2277,0.0833,70.69165,2855.8833,5311,0.3000790722
0.75,Cyberpunk 2077,8128,138.225025,2032,0.1,71.13335,6361.7667,6096,0.25
0.75,Elden Ring,6519,203.24165,1630,0.1333,100.8667,6636.6333,4889,0.2500383494
0.75,Hogwarts Legacy,7901,71.8,1976,0.0833,38.25,2518.2333,5925,0.2500949247
0.75,Monster Hunter Wilds,7321,200.6833,1831,0.0833,97.5667,3030.7833,5490,0.250102445
0.75,The Witcher 3: Wild Hunt,7588,144.587475,1897,0.0833,70.69165,2855.8833,5691,0.25
0.8,Cyberpunk 2077,8128,162.23334,1626,0.1,71.13335,6361.7667,6502,0.2000492126
0.8,Elden Ring,6519,239.4933,1304,0.1333,100.8667,6636.6333,5215,0.2000306796
0.8,Hogwarts Legacy,7901,81.4833,1581,0.0833,38.25,2518.2333,6320,0.200101253
0.8,Monster Hunter Wilds,7321,235,1465,0.0833,97.5667,3030.7833,5856,0.2001092747
0.8,The Witcher 3: Wild Hunt,7588,166.1,1519,0.0833,70.69165,2855.8833,6069,0.2001845018
