scenario_type,scenario,term,beta,hc3_robust_se,z_value,p_value,ci95_beta_low,ci95_beta_high,odds_ratio,or_ci95_low,or_ci95_high,odds_percent_change,p_fdr_bh,significant_raw_0_05,significant_fdr_0_05,average_marginal_effect,ame_se,ame_p_value,ame_ci95_low,ame_ci95_high,n,high_playtime_n,converged
model_specification,without log_review_words,combat,0.0213583904,0.0334834037,0.637879906,0.523551859,-0.04426787493,0.08698465574,1.021588113,0.9566976478,1.090879941,2.158811341,0.523551859,False,False,0.00398512176,0.006266423073,0.5248100512,-0.008296841774,0.01626708529,37457,9366,True
model_specification,without log_review_words,challenge,0.1093909782,0.03656571848,2.991626659,0.002774953982,0.03772348691,0.1810584695,1.11559844,1.03844405,1.198485252,11.55984398,0.004162430974,True,True,0.02074816392,0.007065733045,0.003319935294,0.006899581624,0.03459674621,37457,9366,True
model_specification,without log_review_words,progression,0.3163739281,0.04034767219,7.841194074,4.462820624e-15,0.2372939438,0.3954539125,1.372143243,1.267813729,1.485058124,37.21432426,2.677692375e-14,True,True,0.06241999629,0.008386316381,9.836691407e-14,0.04598311822,0.07885687436,37457,9366,True
model_specification,without log_review_words,exploration,0.1558927326,0.03719016385,4.191773213,2.767826056e-05,0.08300135088,0.2287841143,1.168700833,1.086543276,1.257070626,16.87008329,8.303478169e-05,True,True,0.02983105216,0.007309619217,4.482926055e-05,0.01550446175,0.04415764257,37457,9366,True
model_specification,without log_review_words,narrative,0.07423212939,0.02875193895,2.581812987,0.009828282712,0.01787936456,0.1305848942,1.077056793,1.018040157,1.139494672,7.705679301,0.01179393925,True,True,0.01389558196,0.005414814054,0.01028148086,0.003282741432,0.02450842249,37457,9366,True
model_specification,without log_review_words,immersion,0.1518265656,0.03968507536,3.82578499,0.00013035603,0.07404524721,0.2296078841,1.163958349,1.076855529,1.25810659,16.39583486,0.00026071206,True,True,0.02908072312,0.007814831983,0.0001982612044,0.01376393389,0.04439751236,37457,9366,True
model_specification,review length as cubic spline (df=4),combat,-0.09803006901,0.03487311993,-2.811049576,0.004938017655,-0.1663801281,-0.02968000992,0.9066216421,0.8467243093,0.9707561162,-9.337835787,0.02962810593,True,True,-0.01787904131,0.006266656275,0.004330272919,-0.03016146192,-0.005596620711,37457,9366,True
model_specification,review length as cubic spline (df=4),challenge,-0.01094850157,0.03822870415,-0.2863947867,0.7745757671,-0.08587538488,0.06397838174,0.9891112151,0.9177085845,1.066069352,-1.088878486,0.7745757671,False,False,-0.002021755259,0.007045287382,0.7741386451,-0.01583026479,0.01178675427,37457,9366,True
model_specification,review length as cubic spline (df=4),progression,0.1111863536,0.04516732901,2.461654386,0.01382978624,0.02266001544,0.1997126917,1.117603157,1.022918704,1.221051889,11.76031568,0.04148935871,True,True,0.02102246846,0.008719872064,0.01591456739,0.003931833269,0.03811310366,37457,9366,True
model_specification,review length as cubic spline (df=4),exploration,0.07822619689,0.0379038211,2.063807675,0.03903595509,0.003936072665,0.1525163211,1.081367233,1.003943829,1.164761472,8.136723292,0.07807191018,True,False,0.01468342838,0.007215198384,0.04184390526,0.0005418994097,0.02882495736,37457,9366,True
model_specification,review length as cubic spline (df=4),narrative,-0.05896920823,0.0306196629,-1.925860792,0.0541217583,-0.1189826447,0.001044228271,0.9427357972,0.887823209,1.001044774,-5.726420278,0.08118263745,False,False,-0.01085379361,0.005605289837,0.05282505344,-0.02183995981,0.000132372597,37457,9366,True
