term,beta,hc3_robust_se,z_value,p_value,ci95_beta_low,ci95_beta_high,odds_ratio,or_ci95_low,or_ci95_high,odds_percent_change
"combat:C(game, Treatment(reference='Cyberpunk 2077'))[T.Elden Ring]",-0.2487342664,0.1203660198,-2.066482441,0.03878294875,-0.4846473303,-0.01282120258,0.7797871615,0.6159143728,0.9872606389,-22.02128385
"combat:C(game, Treatment(reference='Cyberpunk 2077'))[T.Hogwarts Legacy]",0.1436011107,0.112681854,1.274394285,0.2025237167,-0.07725126478,0.3644534862,1.154423529,0.9256572393,1.439726962,15.44235295
"combat:C(game, Treatment(reference='Cyberpunk 2077'))[T.Monster Hunter Wilds]",0.00766455348,0.109400481,0.0700595958,0.9441462255,-0.2067564492,0.2220855561,1.007694001,0.8132176857,1.248678205,0.7694001356
"combat:C(game, Treatment(reference='Cyberpunk 2077'))[T.The Witcher 3: Wild Hunt]",-0.2635487046,0.1175981775,-2.241095145,0.02501991263,-0.494036897,-0.03306051209,0.7683202008,0.6101582696,0.9674800136,-23.16797992
"challenge:C(game, Treatment(reference='Cyberpunk 2077'))[T.Elden Ring]",-0.06672826279,0.1290613121,-0.5170276183,0.6051368795,-0.3196837863,0.1862272607,0.9354493632,0.7263786917,1.204696009,-6.45506368
"challenge:C(game, Treatment(reference='Cyberpunk 2077'))[T.Hogwarts Legacy]",0.3305950128,0.1369800686,2.413453404,0.01580214828,0.06211901175,0.5990710138,1.391796019,1.064088976,1.820426863,39.17960186
"challenge:C(game, Treatment(reference='Cyberpunk 2077'))[T.Monster Hunter Wilds]",0.4209955697,0.1296722847,3.246611802,0.001167875675,0.166842562,0.6751485775,1.523477529,1.181568227,1.964324809,52.3477529
"challenge:C(game, Treatment(reference='Cyberpunk 2077'))[T.The Witcher 3: Wild Hunt]",0.2176801757,0.1436150728,1.515719565,0.1295902784,-0.06380019474,0.499160546,1.243189402,0.9381924366,1.647337826,24.31894018
"progression:C(game, Treatment(reference='Cyberpunk 2077'))[T.Elden Ring]",-0.005722075002,0.1413828583,-0.04047219776,0.9677166719,-0.2828273854,0.2713832354,0.9942942649,0.7536498676,1.311777694,-0.5705735112
"progression:C(game, Treatment(reference='Cyberpunk 2077'))[T.Hogwarts Legacy]",0.1093489756,0.130908863,0.8353061284,0.4035453677,-0.1472276812,0.3659256324,1.115551583,0.8630974439,1.441848012,11.55515827
"progression:C(game, Treatment(reference='Cyberpunk 2077'))[T.Monster Hunter Wilds]",0.2168979074,0.1220131043,1.777660758,0.07545958839,-0.02224338256,0.4560391974,1.242217274,0.9780021774,1.57781219,24.22172745
"progression:C(game, Treatment(reference='Cyberpunk 2077'))[T.The Witcher 3: Wild Hunt]",0.1197821027,0.1333308141,0.8983827447,0.3689815326,-0.1415414909,0.3811056963,1.1272512,0.8680191599,1.463902326,12.72511998
"exploration:C(game, Treatment(reference='Cyberpunk 2077'))[T.Elden Ring]",0.06005385128,0.1251997222,0.4796644133,0.6314660362,-0.1853330951,0.3054407976,1.061893729,0.8308274932,1.357223132,6.189372935
"exploration:C(game, Treatment(reference='Cyberpunk 2077'))[T.Hogwarts Legacy]",0.05136311651,0.1118259488,0.4593130401,0.6460093848,-0.1678117157,0.2705379487,1.052705078,0.8455130165,1.310669334,5.270507848
"exploration:C(game, Treatment(reference='Cyberpunk 2077'))[T.Monster Hunter Wilds]",-0.3998039999,0.1550200678,-2.579046736,0.009907338171,-0.7036377498,-0.09597025011,0.6704514417,0.4947821324,0.9084910432,-32.95485583
"exploration:C(game, Treatment(reference='Cyberpunk 2077'))[T.The Witcher 3: Wild Hunt]",-0.1295018787,0.121138843,-1.06903678,0.2850530966,-0.3669296482,0.1079258908,0.8785329379,0.6928583872,1.113965187,-12.14670621
"narrative:C(game, Treatment(reference='Cyberpunk 2077'))[T.Elden Ring]",-0.002238099846,0.1026295502,-0.02180755778,0.9826014654,-0.203388322,0.1989121224,0.9977644028,0.8159613241,1.220074744,-0.2235597168
"narrative:C(game, Treatment(reference='Cyberpunk 2077'))[T.Hogwarts Legacy]",0.1644720947,0.08327324474,1.9750893,0.04825801484,0.001259534128,0.3276846553,1.178770675,1.001260328,1.387751283,17.87706751
"narrative:C(game, Treatment(reference='Cyberpunk 2077'))[T.Monster Hunter Wilds]",-0.4903754112,0.09610258721,-5.10262445,3.349753226e-07,-0.678733021,-0.3020178015,0.6123964505,0.5072592722,0.7393249037,-38.76035495
"narrative:C(game, Treatment(reference='Cyberpunk 2077'))[T.The Witcher 3: Wild Hunt]",-0.08877751314,0.08370362464,-1.060617309,0.288863853,-0.2528336028,0.07527857654,0.9150491373,0.7765970946,1.078184466,-8.495086266
"immersion:C(game, Treatment(reference='Cyberpunk 2077'))[T.Elden Ring]",-0.5031700404,0.1592588316,-3.159448273,0.001580681572,-0.8153116145,-0.1910284662,0.6046109774,0.442501416,0.8261090716,-39.53890226
"immersion:C(game, Treatment(reference='Cyberpunk 2077'))[T.Hogwarts Legacy]",-0.1117801816,0.1078135319,-1.036791761,0.2998329162,-0.3230908212,0.09953045803,0.8942408065,0.7239081052,1.104652116,-10.57591935
"immersion:C(game, Treatment(reference='Cyberpunk 2077'))[T.Monster Hunter Wilds]",-0.08943333109,0.1612175441,-0.5547369647,0.5790745885,-0.4054139112,0.2265472491,0.9144492284,0.6667007988,1.254261871,-8.555077157
"immersion:C(game, Treatment(reference='Cyberpunk 2077'))[T.The Witcher 3: Wild Hunt]",0.2096943096,0.1101015392,1.904553843,0.05683809137,-0.006100741887,0.4254893611,1.233300994,0.9939178299,1.530339125,23.33009941
