model,formula,n,events_high_playtime,parameters,matrix_columns,matrix_rank,condition_number,converged,iterations,covariance_type,log_likelihood,null_log_likelihood,aic,bic,mcfadden_pseudo_r2,model_lr_chi2,model_lr_df,model_lr_p_value,brier_score_in_sample_supplemental,tjur_r2_in_sample_supplemental
Primary Q75 full model,"high_playtime ~ combat + challenge + progression + exploration + narrative + immersion + log_review_words + C(game, Treatment(reference='Cyberpunk 2077')) + steam_purchase + received_for_free",37457,9366,14,14,14,33.80088371,True,6,HC3,-20830.65755,-21065.30987,41689.3151,41808.74838,0.01113927682,469.3046358,13,4.788129577e-92,0.1850875563,0.01298666913
Primary Q75 controls-only model,"high_playtime ~ log_review_words + C(game, Treatment(reference='Cyberpunk 2077')) + steam_purchase + received_for_free",37457,9366,8,8,8,33.42259909,True,6,HC3,-20842.66325,-21065.30987,41701.32651,41769.5741,0.01056934902,445.2932245,7,4.551460595e-92,0.1852036303,0.01229530055
playtime_threshold: Q70,"high_playtime ~ combat + challenge + progression + exploration + narrative + immersion + log_review_words + C(game, Treatment(reference='Cyberpunk 2077')) + steam_purchase + received_for_free",37457,11241,14,14,14,33.80088371,True,5,HC3,-22609.43124,-22884.44766,45246.86248,45366.29577,0.01201761217,550.0328336,13,3.371952644e-109,0.2068719916,0.01507132544
playtime_threshold: Q80,"high_playtime ~ combat + challenge + progression + exploration + narrative + immersion + log_review_words + C(game, Treatment(reference='Cyberpunk 2077')) + steam_purchase + received_for_free",37457,7495,14,14,14,33.80088371,True,6,HC3,-18570.51028,-18748.56316,37169.02056,37288.45385,0.009496881133,356.1057514,13,4.026856099e-68,0.1584651106,0.009914740149
leave_one_game_out: omit Cyberpunk 2077,high_playtime ~ combat + challenge + progression + exploration + narrative + immersion + log_review_words + C(game) + steam_purchase + received_for_free,29329,7334,13,13,13,33.28930572,True,6,HC3,-16311.43783,-16494.64975,32648.87566,32756.59798,0.01110735445,366.4238428,12,4.782008127e-71,0.1850890779,0.01299153861
leave_one_game_out: omit Elden Ring,high_playtime ~ combat + challenge + progression + exploration + narrative + immersion + log_review_words + C(game) + steam_purchase + received_for_free,30938,7736,13,13,13,35.14429412,True,6,HC3,-17151.12655,-17399.17243,34328.2531,34436.66973,0.0142561883,496.0917569,12,1.50428406e-98,0.1843820046,0.01674804497
leave_one_game_out: omit Hogwarts Legacy,high_playtime ~ combat + challenge + progression + exploration + narrative + immersion + log_review_words + C(game) + steam_purchase + received_for_free,29556,7390,13,13,13,33.81570664,True,6,HC3,-16476.35739,-16621.47606,32978.71479,33086.53733,0.008730792764,290.2373258,12,5.251929418e-55,0.1856428371,0.0100063769
leave_one_game_out: omit Monster Hunter Wilds,high_playtime ~ combat + challenge + progression + exploration + narrative + immersion + log_review_words + C(game) + steam_purchase + received_for_free,30136,7535,13,13,13,33.33993393,True,5,HC3,-16749.62522,-16947.63044,33525.25044,33633.32562,0.01168335735,396.0104455,12,2.646526596e-77,0.1849689466,0.01360669571
leave_one_game_out: omit The Witcher 3: Wild Hunt,high_playtime ~ combat + challenge + progression + exploration + narrative + immersion + log_review_words + C(game) + steam_purchase + received_for_free,29869,7469,13,13,13,33.50378688,True,5,HC3,-16606.51164,-16798.31073,33239.02328,33346.98277,0.01141776079,383.5981872,12,1.119885821e-74,0.1850319323,0.01332288344
game_specific_exploratory: Cyberpunk 2077,high_playtime ~ combat + challenge + progression + exploration + narrative + immersion + log_review_words + steam_purchase + received_for_free,8128,2032,10,10,10,36.44531424,True,6,HC3,-4511.46354,-4570.660056,9042.927081,9112.957783,0.01295141498,118.3930302,9,2.848842373e-21,0.1846739131,0.01504057676
game_specific_exploratory: Elden Ring,high_playtime ~ combat + challenge + progression + exploration + narrative + immersion + log_review_words + steam_purchase + received_for_free,6519,1630,10,10,10,28.55078536,True,5,HC3,-3641.406894,-3666.137436,7302.813789,7370.638552,0.006745666742,49.46108274,9,1.360075261e-07,0.1861576404,0.007416401228
game_specific_exploratory: Hogwarts Legacy,high_playtime ~ combat + challenge + progression + exploration + narrative + immersion + log_review_words + steam_purchase + received_for_free,7901,1976,10,10,10,33.62215756,True,5,HC3,-4312.355719,-4443.833747,8644.711437,8714.458883,0.02958662188,262.9560575,9,1.82719934e-51,0.1809111565,0.03537388423
game_specific_exploratory: Monster Hunter Wilds,high_playtime ~ combat + challenge + progression + exploration + narrative + immersion + log_review_words + steam_purchase + received_for_free,7321,1831,10,10,10,35.79860532,True,6,HC3,-4045.982535,-4117.679348,8111.965069,8180.950091,0.01741194673,143.3936269,9,2.053494086e-26,0.1838421792,0.01994102086
game_specific_exploratory: The Witcher 3: Wild Hunt,high_playtime ~ combat + challenge + progression + exploration + narrative + immersion + log_review_words + steam_purchase + received_for_free,7588,1897,10,10,10,35.41331303,True,6,HC3,-4206.460753,-4266.999077,8432.921506,8502.264739,0.01418756446,121.0766489,9,8.042942867e-22,0.1844328765,0.01638696361
model_specification: without log_review_words,"high_playtime ~ combat + challenge + progression + exploration + narrative + immersion + C(game, Treatment(reference='Cyberpunk 2077')) + steam_purchase + received_for_free",37457,9366,13,13,13,12.37859216,True,6,HC3,-20920.95884,-21065.30987,41867.91767,41978.82001,0.006852547179,288.7020594,12,1.102204176e-54,0.1860143813,0.008050482152
model_specification: review length as cubic spline (df=4),"high_playtime ~ combat + challenge + progression + exploration + narrative + immersion + bs(log_review_words, df=4, degree=3, include_intercept=False) + C(game, Treatment(reference='Cyberpunk 2077')) + steam_purchase + received_for_free",37457,9366,17,17,17,32.10497298,True,6,HC3,-20826.59768,-21065.30987,41687.19535,41832.22148,0.01133200466,477.4243793,16,1.923864573e-91,0.1850516039,0.01324341831
