recommendation_id,game,playtime_at_review_hours,game_q75,high_playtime,review_word_count,log_review_words,combat,challenge,progression,exploration,narrative,immersion,steam_purchase,received_for_free
230845151,Cyberpunk 2077,943.4167,138.225025,1,16,2.833213344,0,0,0,0,1,0,1,0
230843064,Cyberpunk 2077,216.7667,138.225025,1,26,3.295836866,0,0,0,0,1,1,1,0
230840737,Cyberpunk 2077,48.1333,138.225025,0,24,3.218875825,0,0,0,0,1,0,1,0
230840632,Cyberpunk 2077,184.95,138.225025,1,12,2.564949357,0,0,0,1,0,0,1,0
230839688,Cyberpunk 2077,34.8667,138.225025,0,26,3.295836866,0,0,0,0,0,0,0,0
230838838,Cyberpunk 2077,94.2667,138.225025,0,427,6.059123196,1,1,1,0,1,0,1,0
230838691,Cyberpunk 2077,22.9333,138.225025,0,12,2.564949357,0,0,0,0,1,0,1,0
230838427,Cyberpunk 2077,228.3833,138.225025,1,57,4.060443011,0,0,0,0,1,1,1,0
230838080,Cyberpunk 2077,117.9833,138.225025,0,26,3.295836866,0,0,0,0,1,0,1,0
230835895,Cyberpunk 2077,460.1833,138.225025,1,54,4.007333185,0,0,0,0,0,0,1,0
230832151,Cyberpunk 2077,310.3,138.225025,1,10,2.397895273,0,0,0,0,0,0,0,0
230831226,Cyberpunk 2077,100.5833,138.225025,0,11,2.48490665,0,0,0,0,0,0,1,0
230830364,Cyberpunk 2077,40.9667,138.225025,0,10,2.397895273,0,1,0,0,0,0,1,0
230828956,Cyberpunk 2077,82.5833,138.225025,0,126,4.844187086,0,0,0,0,1,0,1,0
230828233,Cyberpunk 2077,92.8333,138.225025,0,82,4.418840608,1,0,0,0,1,0,1,0
230827447,Cyberpunk 2077,6.0833,138.225025,0,38,3.663561646,0,0,0,0,0,0,1,0
230825964,Cyberpunk 2077,313.9,138.225025,1,31,3.465735903,0,0,0,0,1,0,1,0
230824271,Cyberpunk 2077,134.3,138.225025,0,106,4.672828834,1,0,1,0,1,0,1,0
230823750,Cyberpunk 2077,68.6333,138.225025,0,16,2.833213344,0,0,0,0,0,0,1,0
230823185,Cyberpunk 2077,76.7167,138.225025,0,11,2.48490665,0,0,0,0,0,0,1,0
230822284,Cyberpunk 2077,92.0667,138.225025,0,61,4.127134385,0,0,0,0,0,0,1,0
230821913,Cyberpunk 2077,77.0167,138.225025,0,282,5.645446898,1,1,1,0,1,0,1,0
230821626,Cyberpunk 2077,396.1167,138.225025,1,19,2.995732274,0,0,0,0,0,0,0,0
230821411,Cyberpunk 2077,57.1333,138.225025,0,33,3.526360525,0,0,0,0,1,0,1,0
230816528,Cyberpunk 2077,116.4833,138.225025,0,19,2.995732274,0,0,0,0,0,0,0,0
230815998,Cyberpunk 2077,35.1667,138.225025,0,29,3.401197382,0,0,0,0,1,0,1,0
230815787,Cyberpunk 2077,30.8167,138.225025,0,24,3.218875825,0,0,0,0,0,0,1,0
230815376,Cyberpunk 2077,101.7833,138.225025,0,45,3.828641396,0,0,0,0,0,0,1,0
230814601,Cyberpunk 2077,73.6667,138.225025,0,18,2.944438979,0,0,0,0,1,0,1,0
230814443,Cyberpunk 2077,550.4667,138.225025,1,71,4.276666119,0,0,0,0,1,0,0,0
230813156,Cyberpunk 2077,263.1833,138.225025,1,34,3.555348061,0,0,0,0,1,1,1,0
230812504,Cyberpunk 2077,100.2333,138.225025,0,23,3.17805383,0,0,0,0,0,0,1,0
230812176,Cyberpunk 2077,0.3333,138.225025,0,45,3.828641396,0,0,0,0,1,0,1,0
230810592,Cyberpunk 2077,168.4833,138.225025,1,89,4.49980967,0,0,0,0,1,0,1,0
230810529,Cyberpunk 2077,26.7667,138.225025,0,39,3.688879454,0,0,0,0,0,0,1,0
230809612,Cyberpunk 2077,79.4833,138.225025,0,15,2.772588722,0,0,0,0,0,0,1,0
230809419,Cyberpunk 2077,314.3167,138.225025,1,240,5.484796933,1,0,1,1,1,1,1,0
230808464,Cyberpunk 2077,39.6,138.225025,0,17,2.890371758,0,0,0,0,0,0,1,0
230807812,Cyberpunk 2077,7.55,138.225025,0,12,2.564949357,0,0,0,0,1,0,1,0
230806781,Cyberpunk 2077,41.4,138.225025,0,13,2.63905733,0,0,0,0,0,0,1,0
230805897,Cyberpunk 2077,322.9333,138.225025,1,46,3.850147602,0,0,0,1,1,0,1,0
230805774,Cyberpunk 2077,30.3667,138.225025,0,28,3.36729583,0,0,0,0,0,0,1,0
230805755,Cyberpunk 2077,168.4167,138.225025,1,207,5.33753808,0,1,1,0,1,0,1,0
230805444,Cyberpunk 2077,151.05,138.225025,1,31,3.465735903,0,0,0,0,0,0,1,0
230804489,Cyberpunk 2077,76.35,138.225025,0,21,3.091042453,0,0,0,0,1,0,1,0
230803215,Cyberpunk 2077,63.2667,138.225025,0,50,3.931825633,0,0,1,0,0,0,1,0
230799792,Cyberpunk 2077,199.65,138.225025,1,44,3.80666249,0,1,1,0,1,1,1,0
230799626,Cyberpunk 2077,109.35,138.225025,0,29,3.401197382,0,0,0,0,1,0,1,0
230799357,Cyberpunk 2077,60,138.225025,0,118,4.779123493,1,0,1,0,1,0,1,0
230798861,Cyberpunk 2077,34.7833,138.225025,0,17,2.890371758,0,0,0,0,0,0,1,0
230797148,Cyberpunk 2077,33.95,138.225025,0,32,3.496507561,0,0,0,0,1,0,1,0
230797013,Cyberpunk 2077,72.2333,138.225025,0,24,3.218875825,0,0,0,0,1,1,1,0
230796187,Cyberpunk 2077,38.1833,138.225025,0,13,2.63905733,0,0,0,0,0,0,1,0
230794642,Cyberpunk 2077,29.7333,138.225025,0,47,3.871201011,0,0,0,0,0,0,0,0
230794511,Cyberpunk 2077,45.6,138.225025,0,49,3.912023005,0,1,0,0,0,0,1,0
230794150,Cyberpunk 2077,175.8667,138.225025,1,175,5.170483995,0,0,0,0,0,0,1,0
230792871,Cyberpunk 2077,400.7333,138.225025,1,71,4.276666119,0,0,0,0,1,0,1,0
230791133,Cyberpunk 2077,23.9333,138.225025,0,16,2.833213344,0,0,0,0,0,0,1,0
230789045,Cyberpunk 2077,71.05,138.225025,0,174,5.164785974,0,0,1,0,1,1,1,0
230788641,Cyberpunk 2077,560.9667,138.225025,1,12,2.564949357,0,0,0,0,1,0,1,0
230786454,Cyberpunk 2077,419.4667,138.225025,1,16,2.833213344,0,0,0,0,0,0,1,0
230786035,Cyberpunk 2077,120.35,138.225025,0,779,6.65929392,1,0,1,0,1,1,1,0
230785552,Cyberpunk 2077,100.2333,138.225025,0,22,3.135494216,0,0,0,0,1,0,1,0
230784612,Cyberpunk 2077,74.9167,138.225025,0,19,2.995732274,0,0,0,0,0,0,1,0
230783212,Cyberpunk 2077,93.85,138.225025,0,24,3.218875825,0,0,0,0,0,0,1,0
230782998,Cyberpunk 2077,59.9667,138.225025,0,21,3.091042453,0,0,0,0,0,0,1,0
230782522,Cyberpunk 2077,96.2,138.225025,0,17,2.890371758,0,1,0,0,1,0,1,0
230782426,Cyberpunk 2077,97.9167,138.225025,0,23,3.17805383,0,0,0,0,0,0,1,0
230781253,Cyberpunk 2077,11.3833,138.225025,0,27,3.33220451,0,0,0,0,0,0,1,0
